"energy_tech_category","energy_tech_subcategory"
"Aluminum","supply chain"
"Battery and energy storage","deployment"
"Battery and energy storage","supply chain"
"Building HVAC","deployment"
"Building HVAC","supply chain"
"Building electrification and energy efficiency","supply chain"
"Building envelope","deployment"
"Building envelope","supply chain"
"Cement","supply chain"
"Chemical recycling","supply chain"
"Climate monitoring and verification hardware","supply chain"
"Critical minerals extraction","supply chain"
"Critical minerals processing and refining","supply chain"
"Data center","deployment"
"Data center","supply chain"
"Electric mobility","deployment"
"Electric mobility","supply chain"
"Engineered carbon management","deployment"
"Engineered carbon management","supply chain"
"Geothermal","deployment"
"Geothermal","supply chain"
"Grid hardware","deployment"
"Grid hardware","supply chain"
"Hydrogen production","deployment"
"Hydrogen production","supply chain"
"Hydrogen transport, storage and distribution","deployment"
"Hydrogen transport, storage and distribution","supply chain"
"Hydropower","deployment"
"Hydropower","supply chain"
"Industrial chemicals and bioplastics","supply chain"
"Industrial process heat and industrial heat pumps","supply chain"
"Marine and tidal","deployment"
"Marine and tidal","supply chain"
"Nuclear fission","deployment"
"Nuclear fission","supply chain"
"Nuclear fusion","supply chain"
"Other industrial decarbonization","supply chain"
"Quantum computing infrastructure","supply chain"
"Semiconductor supply chain","supply chain"
"Solar","supply chain"
"Solar photovoltaic","deployment"
"Solar photovoltaic","supply chain"
"Solar thermal","deployment"
"Solar thermal","supply chain"
"Steel","supply chain"
"Synthetic ammonia and methanol","deployment"
"Synthetic ammonia and methanol","supply chain"
"Synthetic fuels and biofuels","deployment"
"Synthetic fuels and biofuels","supply chain"
"Water and wastewater infrastructure","deployment"
"Water and wastewater infrastructure","supply chain"
"Wind","deployment"
"Wind","supply chain"
