"industry_code","industry_description","energy_tech_category","energy_tech_subcategory"
"211130","Natural Gas Extraction","Hydrogen production","supply chain"
"211130","Natural Gas Extraction","Synthetic fuels and biofuels","supply chain"
"212210","Iron Ore Mining","Steel","supply chain"
"212230","Copper, Nickel, Lead, and Zinc Mining","Critical minerals extraction","supply chain"
"212290","Other Metal Ore Mining","Critical minerals extraction","supply chain"
"212290","Other Metal Ore Mining","Nuclear fission","supply chain"
"212390","Other Nonmetallic Mineral Mining and Quarrying","Critical minerals extraction","supply chain"
"212390","Other Nonmetallic Mineral Mining and Quarrying","Critical minerals processing and refining","supply chain"
"213112","Support Activities for Oil and Gas Operations","Engineered carbon management","supply chain"
"213112","Support Activities for Oil and Gas Operations","Geothermal","supply chain"
"213112","Support Activities for Oil and Gas Operations","Hydrogen production","supply chain"
"221111","Hydroelectric Power Generation","Battery and energy storage","deployment"
"221111","Hydroelectric Power Generation","Grid hardware","deployment"
"221111","Hydroelectric Power Generation","Hydropower","deployment"
"221112","Fossil Fuel Electric Power Generation","Engineered carbon management","deployment"
"221113","Nuclear Electric Power Generation","Nuclear fission","deployment"
"221114","Solar Electric Power Generation","Grid hardware","deployment"
"221114","Solar Electric Power Generation","Solar photovoltaic","deployment"
"221114","Solar Electric Power Generation","Solar thermal","deployment"
"221115","Wind Electric Power Generation","Grid hardware","deployment"
"221115","Wind Electric Power Generation","Wind","deployment"
"221116","Geothermal Electric Power Generation","Geothermal","deployment"
"221118","Other Electric Power Generation","Battery and energy storage","deployment"
"221118","Other Electric Power Generation","Hydrogen production","deployment"
"221121","Electric Bulk Power Transmission and Control","Battery and energy storage","deployment"
"221210","Natural Gas Distribution","Synthetic ammonia and methanol","deployment"
"221210","Natural Gas Distribution","Synthetic fuels and biofuels","deployment"
"221310","Water Supply and Irrigation Systems","Water and wastewater infrastructure","deployment"
"221320","Sewage Treatment Facilities","Water and wastewater infrastructure","deployment"
"236220","Commercial and Institutional Building Construction","Building envelope","deployment"
"236220","Commercial and Institutional Building Construction","Data center","deployment"
"237110","Water and Sewer Line and Related Structures Construction","Geothermal","deployment"
"237110","Water and Sewer Line and Related Structures Construction","Hydropower","deployment"
"237110","Water and Sewer Line and Related Structures Construction","Water and wastewater infrastructure","deployment"
"237120","Oil and Gas Pipeline and Related Structures Construction","Engineered carbon management","deployment"
"237120","Oil and Gas Pipeline and Related Structures Construction","Hydrogen production","deployment"
"237120","Oil and Gas Pipeline and Related Structures Construction","Hydrogen transport, storage and distribution","deployment"
"237130","Power and Communication Line and Related Structures Construction","Battery and energy storage","deployment"
"237130","Power and Communication Line and Related Structures Construction","Electric mobility","deployment"
"237130","Power and Communication Line and Related Structures Construction","Solar photovoltaic","deployment"
"237130","Power and Communication Line and Related Structures Construction","Wind","deployment"
"237990","Other Heavy and Civil Engineering Construction","Battery and energy storage","deployment"
"237990","Other Heavy and Civil Engineering Construction","Geothermal","deployment"
"237990","Other Heavy and Civil Engineering Construction","Hydrogen production","deployment"
"237990","Other Heavy and Civil Engineering Construction","Hydropower","deployment"
"237990","Other Heavy and Civil Engineering Construction","Marine and tidal","deployment"
"237990","Other Heavy and Civil Engineering Construction","Nuclear fission","deployment"
"237990","Other Heavy and Civil Engineering Construction","Wind","deployment"
"238150","Glass and Glazing Contractors","Building envelope","deployment"
"238210","Electrical Contractors and Other Wiring Installation Contractors","Data center","deployment"
"238210","Electrical Contractors and Other Wiring Installation Contractors","Electric mobility","deployment"
